id,title,author,text,label
1,Government announces new tax cuts for small businesses,John Doe,"The government has announced a series of tax cuts aimed at boosting small businesses and economic growth.",1
2,Aliens land in Central Park and start a jazz band,Jane Smith,"According to eyewitnesses, a silver saucer landed in Central Park today. Three green aliens emerged with saxophones and began playing bebop.",0
3,Apple launches new iPhone with holographic display,Tech Reporter,"Apple today unveiled its latest iPhone, which features a revolutionary holographic display technology that allows users to see 3D images without glasses.",1
4,Scientists discover that eating pizza makes you live forever,Dr. Fake,"A new study published in the Journal of Nonsense claims that eating at least three slices of pizza a day can increase your lifespan indefinitely.",0
5,WHO declares global health emergency over new virus,Medical News,"The World Health Organization has declared a public health emergency of international concern following the rapid spread of a newly identified respiratory virus.",1
6,World's largest diamond found in someone's backyard,Local News,"A resident in a small town was shocked to find what experts are calling the world's largest diamond while digging a hole for a new swimming pool.",0
7,Elon Musk plans to build a city on the Moon by 2030,SpaceX News,"Elon Musk has revealed ambitious plans to establish a self-sustaining human settlement on the Moon within the next decade.",1
8,Drinking coffee turns your hair blue overnight study says,Daily Buzz,"A viral post on social media claims that drinking more than five cups of coffee a day will turn your hair a bright shade of blue due to caffeine reaction.",0
9,New study shows exercise improves mental health,Health Journal,"Researchers have found strong evidence that regular physical activity significantly reduces symptoms of anxiety and depression across all age groups.",1
10,Magic potion discovered in Amazon rainforest that grants invisibility,Explorer X,"Deep in the Amazon rainforest, a group of explorers claims to have found a rare plant whose sap can make humans invisible for up to an hour.",0
